id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
984727783519132208,"Minihus i Stockholm, med tillgång till pool",127187334,Rikard,,Bromma,59.34766190000001,17.9130753,Entire home/apt,988.0,1,4,2025-08-25,0.17,1,9,3,
985300656139169644,Standardrum - 2 enkelsängar- inga fönster,445475765,Bromma,,Bromma,59.359446635958186,17.920528955710026,Entire home/apt,1012.0,1,2,2024-03-31,0.09,6,365,0,
985326768353373370,Familjerum - 3 enkelsängar – pentry,445475765,Bromma,,Bromma,59.35785,17.91905,Entire home/apt,1244.0,1,1,2024-05-18,0.06,6,365,0,
985409019762583122,Lakeside studio w/ balcony,135323554,Hans Olof,,Kungsholmens,59.3299,17.9994783,Entire home/apt,760.0,1,77,2025-09-14,3.24,30,350,40,
985439058608427971,Fräsch lägenhet med bra läge,167699851,Selim,,Skärholmens,59.281227029482594,17.904654121382194,Entire home/apt,1064.0,2,3,2023-10-22,0.12,1,362,0,
985591441370898333,Villa Roxstrom nära Stockholm C,32692986,Göran,,Skarpnäcks,59.27817409999999,18.1183976,Entire home/apt,2600.0,2,5,2025-05-17,0.3,1,85,3,
985946342223886138,Harmony between city and nature - Long stay ideal,175599406,Oskar,,Bromma,59.3326,17.98488,Entire home/apt,768.0,14,0,,,1,147,0,
987629895452561860,3:a i mysigt Södermalmskvarter,538699800,Johan,,Södermalms,59.3135486,18.078075,Entire home/apt,3000.0,1,15,2025-08-31,0.9,1,252,9,
988369796211743725,Unique house in Royal Djurgården,132508649,Robin,,Östermalms,59.33012057332433,18.134767216399645,Entire home/apt,2000.0,3,8,2025-08-25,0.48,1,269,4,
988782041904683506,Charmig lägenhet med öppen planlösning & balkong,68979026,Anna,,Kungsholmens,59.33761,18.02655,Entire home/apt,1080.0,3,1,2025-01-04,0.11,1,7,1,
989696047967436790,Penthouse with terrace in the heart of Södermalm,178288855,Charlotte,,Södermalms,59.32022029007175,18.058649640635284,Entire home/apt,2326.0,2,20,2025-08-10,0.85,1,8,4,
989751115695625840,"Nära metro, skogen och stranden!",364397925,Alberto,,Hässelby-Vällingby,59.36293989999999,17.8466735,Entire home/apt,513.0,1,32,2025-09-18,1.35,7,275,17,
991015330336780580,Cosy Urban Home in Stockholm,220860397,Sofia,,Älvsjö,59.279606524395774,18.00035865769673,Entire home/apt,990.0,2,30,2025-08-24,1.27,18,146,16,
991371561840688193,Room in modern apt in Farsta.,137874689,Lissette,,Farsta,59.2408148,18.0923866,Private room,464.0,2,5,2024-08-27,0.3,1,86,0,
992531318568839258,Cozy flat in the heart of söder,41688939,Johanna,,Södermalms,59.31801,18.07182,Entire home/apt,1350.0,7,3,2024-05-04,0.13,1,20,0,
994146462749771045,Fantastisk villa med pool nära Stockholm,395927059,Marcus,,Farsta,59.2661706,18.0835572,Entire home/apt,5195.0,3,10,2025-07-14,0.58,1,246,4,
994747769845613277,Small One Bedroom Apartment,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.27692,18.03078,Entire home/apt,474.0,30,0,,,10,107,0,
994759898787059185,Small quiet studio Älvsjö,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.27621874733988,18.030569867680764,Entire home/apt,499.0,30,2,2024-11-16,0.12,10,109,1,
994770292930976693,One bdrm with renovated kitchen,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.27621737366096,18.0295860216232,Entire home/apt,648.0,30,1,2025-07-17,0.4,10,118,1,
994783070608678720,Top floor 1 bedroom Älvsjö,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.277961769408535,18.03035029145458,Entire home/apt,479.0,30,0,,,10,139,0,
995354391533434165,Standardrum - 1 dubbelsäng,445475765,Bromma,,Bromma,59.35886,17.91859,Entire home/apt,1089.0,1,1,2023-12-17,0.05,6,365,0,
995359012913761477,Studio - pentry - utan fönster,445475765,Bromma,,Bromma,59.3596299485173,17.918615547991397,Entire home/apt,1089.0,1,1,2024-05-19,0.06,6,365,0,
995505217512639124,Newly renovated 2-bedroom apt,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.27664,18.03082,Entire home/apt,748.0,30,0,,,10,131,0,
995514733388803842,Newly renovated 1 bdrm topfloor,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.2780296519357,18.029087700006876,Entire home/apt,439.0,30,0,,,10,192,0,
995525536854384107,Nordic Cozy Metro & Bus | Free Parking | Fast Wifi,55987957,Yuhong,,Spånga-Tensta,59.37930997890543,17.89422409043473,Entire home/apt,636.0,3,53,2025-09-28,2.24,1,168,29,
996232867311404397,SoFo apartment,12906844,Axel,,Södermalms,59.31526,18.07884,Entire home/apt,1890.0,5,0,,,2,178,0,
996303313964607994,Enkelt rum nära Hornstull utan fönster.,177863779,Nikolay,,Södermalms,59.31829320968541,18.02469004803465,Private room,270.0,3,41,2025-09-08,1.75,3,72,23,
997842623284173291,Long term - Scandinavian Design Apartment,3893746,Samer,,Skärholmens,59.27747073779989,17.904867932871568,Entire home/apt,1500.0,90,0,,,1,92,0,
998572202625655446,Old Town Historic Charm,1027549,William,,Södermalms,59.32457,18.06853,Entire home/apt,1097.0,1,127,2025-09-25,5.34,22,346,68,
998984633236469186,Own Exclusive Penthouse floor at the best location,541196712,Ted,,Östermalms,59.33921,18.09205,Private room,1357.0,3,14,2025-06-20,0.62,2,269,5,
999280008399768265,Bed & Breakfast at Hotel Tre små rum,378998653,City Living,,Södermalms,59.31509510000001,18.0630044,Private room,1170.0,1,1,2025-08-22,0.77,12,306,1,
999334430335004568,Exclusive room located in city center,541196712,Ted,,Östermalms,59.339166470753966,18.09251950630151,Private room,1302.0,4,10,2025-07-09,0.6,2,269,7,
1000056802929658315,Remodeled 2-bedroom penthouse in Old Town,476635035,Alicia,,Södermalms,59.3234861,18.0702524,Entire home/apt,2868.0,4,112,2025-09-17,4.74,11,323,55,
1000400661414412409,Spacious apartment by waterfront in Fredhäll,51002540,Fredrik,,Kungsholmens,59.3299,17.9994783,Entire home/apt,1591.0,1,97,2025-09-24,4.28,17,292,56,
1000439359343990999,Stylish stay in Vasastan,16683151,Olof,,Norrmalms,59.34006,18.03054,Entire home/apt,746.0,1,89,2025-09-22,3.76,39,0,44,
1001239087476732904,Vasastan city,515320013,Johan,,Norrmalms,59.34669163755909,18.05923380231224,Entire home/apt,1260.0,1,0,,,1,264,0,
